pokemon_id,pokemon_proximas_evolucoes,pokemon_name,pokemon_altura,pokemon_peso,pokemon_tipos,pokemon_habilidades,url_pagina
0001,"[{'numero': '', 'nome': 'Bulbasaur', 'url': 'https://pokemondb.net/pokedex/bulbasaur'}, {'numero': '', 'nome': 'Ivysaur', 'url': 'https://pokemondb.net/pokedex/ivysaur'}, {'numero': '', 'nome': 'Venusaur', 'url': 'https://pokemondb.net/pokedex/venusaur'}]",Bulbasaur,0.7 m (2′04″),6.9 kg (15.2 lbs),"Grass,Poison,Cerulean City","[{'nome': 'Overgrow', 'url': 'https://pokemondb.net/ability/overgrow'}, {'nome': 'Chlorophyll', 'url': 'https://pokemondb.net/ability/chlorophyll'}]",https://pokemondb.net//pokedex/bulbasaur
0011,"[{'numero': '', 'nome': 'Caterpie', 'url': 'https://pokemondb.net/pokedex/caterpie'}, {'numero': '', 'nome': 'Metapod', 'url': 'https://pokemondb.net/pokedex/metapod'}, {'numero': '', 'nome': 'Butterfree', 'url': 'https://pokemondb.net/pokedex/butterfree'}]",Metapod,0.7 m (2′04″),9.9 kg (21.8 lbs),"Bug,Route 24,25,Viridian Forest","[{'nome': 'Shed Skin', 'url': 'https://pokemondb.net/ability/shed-skin'}]",https://pokemondb.net//pokedex/metapod
0016,"[{'numero': '', 'nome': 'Pidgey', 'url': 'https://pokemondb.net/pokedex/pidgey'}, {'numero': '', 'nome': 'Pidgeotto', 'url': 'https://pokemondb.net/pokedex/pidgeotto'}, {'numero': '', 'nome': 'Pidgeot', 'url': 'https://pokemondb.net/pokedex/pidgeot'}]",Pidgey,0.3 m (1′00″),1.8 kg (4.0 lbs),"Normal,Flying,Route 1,2,5,6,7,8,11,12,13,21,24,25,Viridian Forest","[{'nome': 'Keen Eye', 'url': 'https://pokemondb.net/ability/keen-eye'}, {'nome': 'Tangled Feet', 'url': 'https://pokemondb.net/ability/tangled-feet'}, {'nome': 'Big Pecks', 'url': 'https://pokemondb.net/ability/big-pecks'}]",https://pokemondb.net//pokedex/pidgey
0014,"[{'numero': '', 'nome': 'Weedle', 'url': 'https://pokemondb.net/pokedex/weedle'}, {'numero': '', 'nome': 'Kakuna', 'url': 'https://pokemondb.net/pokedex/kakuna'}, {'numero': '', 'nome': 'Beedrill', 'url': 'https://pokemondb.net/pokedex/beedrill'}]",Kakuna,0.6 m (2′00″),10.0 kg (22.0 lbs),"Bug,Poison,Route 25,Viridian Forest","[{'nome': 'Shed Skin', 'url': 'https://pokemondb.net/ability/shed-skin'}]",https://pokemondb.net//pokedex/kakuna
0018,"[{'numero': '', 'nome': 'Pidgey', 'url': 'https://pokemondb.net/pokedex/pidgey'}, {'numero': '', 'nome': 'Pidgeotto', 'url': 'https://pokemondb.net/pokedex/pidgeotto'}, {'numero': '', 'nome': 'Pidgeot', 'url': 'https://pokemondb.net/pokedex/pidgeot'}]",Pidgeot,1.5 m (4′11″),39.5 kg (87.1 lbs),"Normal,Flying,Normal,Flying","[{'nome': 'Keen Eye', 'url': 'https://pokemondb.net/ability/keen-eye'}, {'nome': 'Tangled Feet', 'url': 'https://pokemondb.net/ability/tangled-feet'}, {'nome': 'Big Pecks', 'url': 'https://pokemondb.net/ability/big-pecks'}, {'nome': 'No Guard', 'url': 'https://pokemondb.net/ability/no-guard'}]",https://pokemondb.net//pokedex/pidgeot
0013,"[{'numero': '', 'nome': 'Weedle', 'url': 'https://pokemondb.net/pokedex/weedle'}, {'numero': '', 'nome': 'Kakuna', 'url': 'https://pokemondb.net/pokedex/kakuna'}, {'numero': '', 'nome': 'Beedrill', 'url': 'https://pokemondb.net/pokedex/beedrill'}]",Weedle,0.3 m (1′00″),3.2 kg (7.1 lbs),"Bug,Poison,Route 25,Viridian Forest","[{'nome': 'Shield Dust', 'url': 'https://pokemondb.net/ability/shield-dust'}, {'nome': 'Run Away', 'url': 'https://pokemondb.net/ability/run-away'}]",https://pokemondb.net//pokedex/weedle
0017,"[{'numero': '', 'nome': 'Pidgey', 'url': 'https://pokemondb.net/pokedex/pidgey'}, {'numero': '', 'nome': 'Pidgeotto', 'url': 'https://pokemondb.net/pokedex/pidgeotto'}, {'numero': '', 'nome': 'Pidgeot', 'url': 'https://pokemondb.net/pokedex/pidgeot'}]",Pidgeotto,1.1 m (3′07″),30.0 kg (66.1 lbs),"Normal,Flying,Route 5,6,7,8,11,12,13,14,15,21,24,25,Viridian Forest","[{'nome': 'Keen Eye', 'url': 'https://pokemondb.net/ability/keen-eye'}, {'nome': 'Tangled Feet', 'url': 'https://pokemondb.net/ability/tangled-feet'}, {'nome': 'Big Pecks', 'url': 'https://pokemondb.net/ability/big-pecks'}]",https://pokemondb.net//pokedex/pidgeotto
0012,"[{'numero': '', 'nome': 'Caterpie', 'url': 'https://pokemondb.net/pokedex/caterpie'}, {'numero': '', 'nome': 'Metapod', 'url': 'https://pokemondb.net/pokedex/metapod'}, {'numero': '', 'nome': 'Butterfree', 'url': 'https://pokemondb.net/pokedex/butterfree'}]",Butterfree,1.1 m (3′07″),32.0 kg (70.5 lbs),"Bug,Flying,Route 2,26,27,34,35,36,37,38,39,Azalea Town,Ilex Forest,Lake of Rage,National Park","[{'nome': 'Compound Eyes', 'url': 'https://pokemondb.net/ability/compound-eyes'}, {'nome': 'Tinted Lens', 'url': 'https://pokemondb.net/ability/tinted-lens'}]",https://pokemondb.net//pokedex/butterfree
0015,"[{'numero': '', 'nome': 'Weedle', 'url': 'https://pokemondb.net/pokedex/weedle'}, {'numero': '', 'nome': 'Kakuna', 'url': 'https://pokemondb.net/pokedex/kakuna'}, {'numero': '', 'nome': 'Beedrill', 'url': 'https://pokemondb.net/pokedex/beedrill'}]",Beedrill,1.0 m (3′03″),29.5 kg (65.0 lbs),"Bug,Poison,Bug,Poison","[{'nome': 'Swarm', 'url': 'https://pokemondb.net/ability/swarm'}, {'nome': 'Sniper', 'url': 'https://pokemondb.net/ability/sniper'}, {'nome': 'Adaptability', 'url': 'https://pokemondb.net/ability/adaptability'}]",https://pokemondb.net//pokedex/beedrill
0010,"[{'numero': '', 'nome': 'Caterpie', 'url': 'https://pokemondb.net/pokedex/caterpie'}, {'numero': '', 'nome': 'Metapod', 'url': 'https://pokemondb.net/pokedex/metapod'}, {'numero': '', 'nome': 'Butterfree', 'url': 'https://pokemondb.net/pokedex/butterfree'}]",Caterpie,0.3 m (1′00″),2.9 kg (6.4 lbs),"Bug,Route 2,24,25,Viridian Forest","[{'nome': 'Shield Dust', 'url': 'https://pokemondb.net/ability/shield-dust'}, {'nome': 'Run Away', 'url': 'https://pokemondb.net/ability/run-away'}]",https://pokemondb.net//pokedex/caterpie
